ID,Tipo,SKU,Nombre,Publicado,"¿Está destacado?","Visibilidad en el catálogo","Descripción corta",Descripción,"Día en que empieza el precio rebajado","Día en que termina el precio rebajado","Estado del impuesto","Clase de impuesto","¿En inventario?",Inventario,"Cantidad de bajo inventario","¿Permitir reservas de productos agotados?","¿Vendido individualmente?","Peso (kg)","Longitud (cm)","Anchura (cm)","Altura (cm)","¿Permitir valoraciones de clientes?","Nota de compra","Precio rebajado","Precio normal",Categorías,Etiquetas,"Clase de envío",Imágenes,"Límite de descargas","Días de caducidad de la descarga",Superior,"Productos agrupados","Ventas dirigidas","Ventas cruzadas","URL externa","Texto del botón",Posición,"Nombre del atributo 1","Valor(es) del atributo 1","Atributo visible 1","Atributo global 1"
11754,variation,,"Munecos ""especial navidad"" - Almagro 6/12, 15.3hs",1,0,visible,,,,,taxable,parent,1,5,,0,1,,,,,0,,,70000,,,,,,,id:11751,,,,,,0,Sede,"Almagro 6/12\, 15.3hs",,0
11753,variation,,"Munecos ""especial navidad"" - Ciudad Jardín 5/12, 10hs",1,0,visible,,,,,taxable,parent,1,6,,0,1,,,,,0,,,70000,,,,,,,id:11751,,,,,,0,Sede,"Ciudad Jardín 5/12\, 10hs",,0
11710,variation,,"Abc Costura - Miércoles 10hs",1,0,visible,,,,,taxable,parent,0,0,,0,1,,,,,0,,,94300,,,,,,,id:139,,,,,,0,Turno,"Miércoles 10hs",,0
11669,variation,,"Intensivo Indumentaria - Miércoles 18hs",1,0,visible,,,,,taxable,parent,0,0,,0,1,,,,,0,,,112500,,,,,,,id:11651,,,,,,0,Turno,"Miércoles 18hs",,0
11443,variation,,"Abc Overlock & Collareta - Miércoles 15hs",'-1,0,visible,,,,,taxable,parent,1,4,,0,1,,,,,0,,,70200,,,,,,,id:11439,,,,,,0,Turno,"Miércoles 15hs",,0
11260,variation,,"Taller de Crochet - TALLER REGULAR",'-1,0,visible,,,,,taxable,parent,1,6,,0,1,,,,,0,,,32500,,,,,,,id:11259,,,,,,0,"TALLER REGULAR","TALLER REGULAR",,0
11123,variation,,"Taller de Bordado - seminario",'-1,0,visible,,,,,taxable,parent,1,6,,0,1,,,,,0,,,0,,,,,,,id:11110,,,,,,0,SEMINARIO,seminario,,0
10884,simple,,"Kimonos, abc express!",'-1,0,visible,,,,,taxable,,1,6,,0,1,,,,,0,,,45000,"Cursos Almagro, Cursos Almagro > Intensivos",,,"https://bauldemoda.com.ar/bm/wp-content/uploads/sites/2/2023/09/producto.jpg, https://bauldemoda.com.ar/bm/wp-content/uploads/sites/2/2023/09/producto1.jpg, https://bauldemoda.com.ar/bm/wp-content/uploads/sites/2/2023/09/5.jpg, https://bauldemoda.com.ar/bm/wp-content/uploads/sites/2/2023/09/6.jpg",,,,,,,,,0,,,,
11636,variation,,"Arreglos de Ropa - Sábado 25/10",1,0,visible,,,,,taxable,parent,0,0,,0,1,,,,,0,,,65000,,,,,,,id:11240,,,,,,1,SEMINARIO,"Sábado 25/10",,0
11567,simple,,"Baul Disena",1,0,visible,,,,,taxable,,1,,,0,1,,,,,0,,,26000,"Cursos Online, Cursos Online > para alumnos",,,"https://bauldemoda.com.ar/bm/wp-content/uploads/sites/2/2025/05/baul-disena-curso-de-diseno-de-modas.jpg, https://bauldemoda.com.ar/bm/wp-content/uploads/sites/2/2025/05/baul-disena-un-nuevo-curso-para-crear.jpg, https://bauldemoda.com.ar/bm/wp-content/uploads/sites/2/2025/05/baul-disena-online-en-vivo-o-grabado.jpg, https://bauldemoda.com.ar/bm/wp-content/uploads/sites/2/2025/05/baul-disena-online.jpg",,,,,,,,,1,,,,
11030,variation,,"Indumentaria - Martes 10hs",1,0,visible,,,,,taxable,parent,0,0,,0,1,,,,,0,,,70180,,,,,,,id:144,,,,,,1,Turno,"Martes 10hs",,0
11020,variation,,"Carteras - Martes 10hs",1,0,visible,,,,,taxable,parent,0,0,,0,1,,,,,0,,,70180,,,,,,,id:150,,,,,,1,TURNO,"Martes 10hs",,0
11011,variation,,"Lencería y Mallas - Martes 10hs",1,0,visible,,,,,taxable,parent,0,0,,0,1,,,,,0,,,70180,,,,,,,id:148,,,,,,1,Turno,"Martes 10hs",,0
10616,variation,,"Taller Libre Corte y Confeccion - x clase",'-1,0,visible,,,,,taxable,parent,1,9,,0,1,,,,,0,,,3500,,,,,,,"taller libre corte y confeccion",,,,,,1,"OPCIÓN DE COMPRA","x clase",,0
10072,variation,"abc y carteras clase abierta","Clase Abierta Fin de Año - 14.30hs: abc y carteras",'-1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,,,,,,,,id:10071,,,,,,1,Rubro,"14.30hs: abc y carteras",,0
1041,variation,,"Promo Marzo Indumentaria Off - 1 NIVEL $3900",'-1,0,visible,,,,,taxable,parent,1,,,0,1,,,,,0,,,3900,,,,,,,"indumentaria PROMO MARZO",,,,,,1,"OPCIÓN DE COMPRA","1 NIVEL $3900",,0
958,variation,"pase mix","Pase Baulero - Pase Mix",'-1,0,visible,,,,,taxable,parent,1,,,0,1,,,,,0,,,5000,,,,,,,pase,,,,,,1,Pase,"Pase Mix",,0
498,variation,,"Deco Costura x Zoom - $600 x clase",'-1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,600,,,,,,,"deco costura",,,,,,1,"Opción de compra","$600 x clase",,0
479,variation,,"Deco Kids - $600 x clase",'-1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,600,,,,,,,"deco bebe",,,,,,1,"OPCION DE COMPRA","$600 x clase",,0
